,City,Cloudiness(%),Country,Date in Unix,Humidity(%),Latitude,Longitude,Max Temp (°F),Wind Speed in MPH
101,Luderitz,1,NA,1566714828,23,-26.65,15.16,62.6,3.36
102,Iranshahr,0,IR,1566715295,12,27.21,60.69,96.8,4.7
103,Vagur,67,FO,1566715296,90,61.47,-6.81,50.62,14.25
104,Longyearbyen,75,NO,1566714849,80,78.22,15.63,39.2,5.82
105,Qaanaaq,100,GL,1566714804,73,77.48,-69.36,34.78,11.99
106,Tasiilaq,100,GL,1566715300,81,65.61,-37.64,42.8,6.93
107,Vanimo,97,PG,1566715301,71,-2.67,141.3,83.92,10.49
108,Sao Filipe,24,CV,1566715302,85,14.9,-24.5,78.7,14.9
109,Kerema,90,PG,1566715303,82,-7.96,145.78,76.54,13.91
110,Saskylakh,62,RU,1566714839,58,71.97,114.09,64.12,9.66
111,Zeya,48,RU,1566715305,50,53.74,127.27,72.76,6.55
112,Dubno,0,UA,1566715307,63,50.42,25.75,68.0,8.95
113,Kisesa,67,TZ,1566715308,47,-2.55,33.05,73.84,11.39
114,Pevek,62,RU,1566715309,70,69.7,170.27,45.58,11.16
115,Chulym,47,RU,1566715310,46,55.09,80.97,69.52,12.88
116,Georgetown,0,GY,1566715240,100,6.8,-58.16,73.4,2.24
117,Severo-Kurilsk,100,RU,1566715313,90,50.68,156.12,49.9,46.98
118,Cape Town,75,ZA,1566714770,87,-33.93,18.42,59.0,8.05
119,Constitucion,64,MX,1566715134,87,23.99,-104.67,61.0,8.99
120,Natalicio Talavera,0,PY,1566715316,57,-25.65,-56.31,63.94,7.29
121,Biak,98,ID,1566715317,85,-0.91,122.88,68.98,5.44
122,Walvis Bay,0,NA,1566715318,60,-22.95,14.51,62.01,5.84
123,Olsztyn,0,PL,1566715320,77,53.78,20.48,62.6,3.36
124,Castro,90,CL,1566714809,100,-42.48,-73.76,41.0,5.82
125,Santo Antonio do Taua,0,BR,1566715322,88,-1.15,-48.13,77.0,5.82
126,Puerto Ayora,88,EC,1566715106,96,-0.74,-90.35,68.0,1.01
127,Atuona,0,PF,1566714757,71,-9.8,-139.03,79.24,14.97
128,Labuhan,94,ID,1566715325,35,-2.54,115.51,98.32,2.06
129,Batouri,100,CM,1566715327,97,4.44,14.36,66.1,2.95
130,Nome,75,US,1566714820,88,30.04,-94.42,81.0,3.36
131,Husavik,100,CA,1566715329,52,50.56,-96.99,70.0,13.0
132,Yatou,75,CM,1566715330,100,3.63,9.81,73.4,1.12
133,Puerto Carreno,100,CO,1566715331,86,6.19,-67.49,75.46,3.0
134,Port Hedland,29,AU,1566715332,11,-20.31,118.58,89.6,8.05
135,Dahra,40,DZ,1566715334,78,36.25,0.85,71.6,16.69
136,Aswan,0,EG,1566715335,17,24.09,32.9,91.48,7.25
137,Grand Gaube,40,MU,1566715336,78,-20.01,57.66,75.2,12.75
138,Along,0,IN,1566715337,49,28.17,94.8,79.06,7.25
139,Kodiak,90,US,1566715060,73,39.95,-94.76,69.8,9.17
140,Bonnyville,20,CA,1566715339,82,54.27,-110.74,55.4,5.3
141,Lillooet,90,CA,1566715341,93,50.69,-121.94,50.0,4.7
142,Port Antonio,20,JM,1566715342,70,18.18,-76.45,84.2,5.82
143,Hilo,90,US,1566714825,74,19.71,-155.08,80.6,5.82
144,Mar del Plata,22,AR,1566714768,70,-46.43,-67.52,43.78,19.48
145,Le Vauclin,40,MQ,1566715345,88,14.55,-60.84,78.8,8.05
146,Guiren,75,TW,1566715346,79,22.97,120.29,97.0,14.99
147,Dali,91,CN,1566715348,52,34.79,109.94,85.72,11.41
148,Bull Savanna,0,JM,1566715349,78,17.89,-77.59,81.22,6.91
149,Chuy,100,UY,1566714784,83,-33.69,-53.46,52.78,10.25
150,Angoram,35,PG,1566715351,87,-4.06,144.07,82.3,6.08
151,Aviles,75,ES,1566715352,88,43.55,-5.92,66.99,1.12
152,Goderich,11,CA,1566715354,67,43.74,-81.71,64.99,1.01
153,Tuatapere,100,NZ,1566715355,93,-46.13,167.69,46.99,11.72
154,Ancud,90,CL,1566715190,100,-41.87,-73.83,41.0,5.82
155,Codrington,45,AU,1566715257,38,-28.95,153.24,78.8,12.75
156,Saldanha,87,PT,1566715359,51,41.42,-6.55,65.56,3.31
157,Basoko,75,CD,1566715360,97,1.23,23.61,70.42,3.44
158,Saint-Philippe,1,CA,1566714862,87,45.36,-73.48,59.0,2.24
159,Rocha,100,UY,1566715363,88,-34.48,-54.34,46.66,9.04
160,Uzyn,0,UA,1566715364,49,49.83,30.42,72.0,6.71
161,Torbay,5,CA,1566714816,87,47.66,-52.73,46.0,5.82
162,Scottsbluff,1,US,1566714775,93,41.87,-103.67,66.99,6.93
163,Lazaro Cardenas,56,MX,1566715367,73,28.39,-105.62,72.0,1.99
164,Lumphat,96,KH,1566715368,83,13.5,106.97,83.56,3.83
165,Coquimbo,75,CL,1566715370,93,-29.95,-71.34,51.8,10.29
166,Margate,75,AU,1566715371,53,-43.03,147.26,51.8,8.05
167,Castrillon,75,ES,1566715372,88,43.4,-6.79,64.4,1.12
168,Sao Gabriel da Cachoeira,99,BR,1566715373,95,-0.13,-67.09,73.48,1.57
169,Guarapari,75,BR,1566715374,88,-20.67,-40.5,68.0,5.82
170,Port Blair,90,IN,1566715146,94,11.67,92.75,77.0,10.29
171,Tangier,90,GB,1566715377,100,51.02,-3.11,64.99,4.7
172,Lafiagi,99,NG,1566715378,94,8.85,5.42,72.4,2.01
173,Bilma,5,NE,1566715379,57,18.69,12.92,83.56,6.51
174,Chapais,1,CA,1566715380,93,49.78,-74.86,46.4,1.83
175,Ilulissat,0,GL,1566715381,38,69.22,-51.1,41.0,23.04
176,Bubaque,99,GW,1566715383,84,11.28,-15.83,79.42,17.81
177,Port Hardy,75,CA,1566715066,93,50.7,-127.42,53.6,3.36
178,Northam,87,AU,1566715385,45,-31.65,116.67,66.2,9.17
179,Porbandar,40,IN,1566715204,70,21.64,69.61,87.8,5.82
180,Dingle,100,PH,1566715387,78,11.0,122.67,84.82,8.79
181,Severodvinsk,90,RU,1566715388,76,64.56,39.82,50.0,6.71
182,Rockland,20,CA,1566715390,93,45.55,-75.29,57.99,3.36
183,Kaitangata,100,NZ,1566714847,82,-46.28,169.85,48.0,4.0
184,Banda Aceh,100,ID,1566715392,71,5.56,95.32,81.4,14.74
185,Brufut,100,GM,1566715393,82,13.38,-16.75,80.68,13.44
186,Pirgos,20,GR,1566715394,65,35.12,25.72,84.99,5.82
187,Bethel,1,US,1566714832,62,60.79,-161.76,59.0,10.04
188,Guaymas,100,MX,1566715397,91,27.92,-110.9,80.01,2.84
189,Alugan,90,PH,1566715398,86,12.22,125.48,83.56,2.91
190,Mingguang,35,CN,1566715399,69,32.78,118.01,85.72,15.59
191,Luau,72,CD,1566715400,30,-10.7,22.23,62.32,5.82
192,Haines Junction,98,CA,1566715401,93,60.75,-137.51,38.38,1.63
193,Voi,10,KE,1566715403,58,-3.4,38.57,72.22,7.05
194,Hithadhoo,95,MV,1566714964,72,-0.6,73.08,82.66,9.89
195,Morlaix,90,FR,1566715405,100,48.58,-3.83,62.01,3.36
196,Thompson,90,CA,1566715189,100,55.74,-97.86,60.8,3.36
197,Guatire,40,VE,1566715407,88,10.47,-66.54,75.2,3.36
198,Nha Trang,20,VN,1566715408,47,12.24,109.19,96.8,11.41
199,Carnarvon,1,ZA,1566715410,25,-30.97,22.13,55.3,3.24
200,Altamira,0,BR,1566715411,77,-3.2,-52.21,72.94,4.07
201,Aitape,63,PG,1566715412,66,-3.15,142.36,84.82,7.76
202,Tateyama,40,JP,1566715413,54,36.66,137.31,84.2,12.75
203,Te Kauwhata,22,NZ,1566715414,82,-37.4,175.15,57.0,17.22
204,Kavieng,91,PG,1566715142,75,-2.57,150.8,83.38,10.36
205,Barra,94,BR,1566715417,67,-11.09,-43.14,70.24,9.48
206,Christchurch,1,NZ,1566714855,62,-43.53,172.64,57.0,2.24
207,Russell,90,US,1566715419,93,38.9,-98.86,62.6,10.29
208,Waitati,100,NZ,1566715420,82,-45.75,170.57,48.99,1.01
209,Binzhou,48,CN,1566715422,39,37.38,117.96,90.0,5.68
210,Sambava,21,MG,1566715423,55,-14.27,50.17,76.0,6.51
211,Hambantota,75,LK,1566715425,78,6.12,81.12,82.4,17.22
212,Hasaki,20,JP,1566715379,58,35.73,140.83,95.0,10.29
213,Nanortalik,81,GL,1566715427,72,60.14,-45.24,41.98,1.12
214,Avesta,92,SE,1566715428,87,60.15,16.18,66.99,5.82
215,Mehamn,14,NO,1566715429,62,71.03,27.85,43.06,9.31
216,Pacific Grove,1,US,1566715430,87,36.62,-121.92,66.99,4.9
217,Tchaourou,95,BJ,1566715432,95,8.89,2.6,70.42,4.94
218,Sibolga,100,ID,1566715323,69,1.74,98.78,81.94,11.07
219,Port-Cartier,5,CA,1566715434,93,50.03,-66.88,48.0,2.24
220,Kaeo,81,NZ,1566715435,100,-35.1,173.78,54.0,9.44
221,Kasulu,69,TZ,1566715436,50,-4.57,30.11,70.42,13.11
222,Erzin,20,TR,1566715438,70,36.95,36.2,86.0,3.36
223,Kungurtug,90,RU,1566715439,50,50.6,97.53,53.86,7.16
224,Blythe,1,US,1566715440,43,33.61,-114.59,91.4,14.99
225,Tura,41,RU,1566715441,39,64.27,100.22,69.16,10.13
226,Shawnee,1,US,1566715144,88,35.33,-96.93,75.0,5.82
227,Vila Franca do Campo,75,PT,1566715433,94,37.72,-25.43,71.01,6.93
228,Tiksi,98,RU,1566715398,87,71.64,128.87,49.72,9.82
229,Salalah,75,OM,1566715059,79,17.01,54.1,84.2,4.7
230,Ballangen,99,NO,1566715447,93,68.34,16.83,52.0,12.75
231,Saint-Augustin,5,CA,1566715448,100,45.63,-73.98,60.01,2.24
232,Vestmannaeyjar,100,IS,1566715449,85,63.44,-20.27,50.44,13.33
233,Lavrentiya,78,RU,1566715450,58,65.58,-170.99,55.84,7.16
234,Tulu Bolo,42,ET,1566715451,78,8.66,38.21,62.32,2.17
235,Canmore,20,CA,1566715453,93,51.09,-115.35,46.99,6.93
236,Lugovoy,100,RU,1566715454,68,59.72,65.88,59.98,5.14
237,Berlevag,32,NO,1566715361,67,70.86,29.09,43.6,9.73
238,Broome,63,GB,1566715456,100,52.47,1.45,71.01,3.31
239,Graaff-Reinet,0,ZA,1566715457,19,-32.25,24.53,64.12,8.39
240,Ninghai,75,CN,1566715458,94,29.29,121.42,82.0,2.24
241,Nelson Bay,0,AU,1566715460,45,-32.72,152.14,68.0,18.34
242,Sitka,94,US,1566715461,93,37.17,-99.65,71.01,5.01
243,Sainte-Maxime,0,FR,1566715462,77,43.31,6.64,78.01,2.3
244,Mandera,14,ET,1566714965,52,3.94,41.86,82.12,18.75
245,Bandarbeyla,5,SO,1566715109,43,9.49,50.81,88.78,31.83
246,Viseu,75,PT,1566715465,93,40.66,-7.91,63.0,2.24
247,Ugoofaaru,88,MV,1566715467,77,5.67,73.0,82.3,13.65
248,Xai-Xai,0,MZ,1566715468,74,-25.04,33.64,65.38,5.99
249,Ust-Nera,40,RU,1566715469,44,64.57,143.24,62.32,7.11
250,Ust-Kuyga,56,RU,1566715470,51,70.0,135.55,60.7,11.21
251,Nushki,0,PK,1566715471,10,29.55,66.02,90.22,5.77
252,Strezhevoy,75,RU,1566715473,87,60.73,77.6,50.0,11.18
253,Gizo,40,IL,1566715474,70,31.8,34.94,87.01,5.82
254,Coihaique,0,CL,1566715475,86,-45.58,-72.07,39.2,1.12
255,Bara,100,NG,1566715476,97,10.41,10.6,69.34,4.81
256,Menongue,62,AO,1566715478,26,-14.66,17.68,54.04,6.58
257,Srednekolymsk,98,RU,1566715479,53,67.46,153.71,70.24,8.1
258,Amuntai,100,ID,1566715480,35,-2.42,115.25,97.78,5.57
259,Balabac,100,PH,1566715481,67,7.99,117.06,86.62,9.37
260,Hobyo,51,SO,1566715482,48,5.35,48.53,86.8,22.15
261,Pottstown,40,US,1566715484,77,40.25,-75.65,62.01,4.07
262,Esmeraldas,0,BR,1566715485,82,-19.76,-44.31,60.8,10.29
263,Aklavik,75,CA,1566715486,61,68.22,-135.01,48.2,10.74
264,Turayf,0,SA,1566715487,33,31.68,38.65,89.6,9.17
265,Tecoanapa,20,MX,1566715488,88,16.99,-99.26,82.4,2.24
266,Wawa,83,NG,1566715490,96,9.9,4.41,70.78,3.13
267,Teknaf,73,BD,1566715492,81,20.86,92.31,83.74,20.0
268,Vao,48,EE,1566715493,72,59.1,26.19,60.7,3.62
269,Te Anau,98,NZ,1566715418,87,-45.41,167.72,42.7,6.6
270,Chegdomyn,16,RU,1566715496,50,51.13,133.04,72.4,4.79
271,Mpongwe,97,ZM,1566715272,60,-13.51,28.16,62.14,8.1
272,Byron Bay,30,AU,1566715498,53,-28.65,153.62,75.2,12.75
273,Luocheng,26,CN,1566715499,45,28.29,114.55,93.82,5.99
274,Faro,0,PT,1566715218,50,37.02,-7.94,75.2,6.93
275,Garcia,40,BR,1566715502,88,-12.99,-38.52,75.2,5.82
276,Onega,56,RU,1566715503,83,63.91,38.09,50.26,5.66
277,Nsanje,64,MZ,1566715504,73,-16.92,35.26,71.5,3.8
278,Sola,100,TZ,1566715505,39,-3.17,33.8,72.22,10.25
279,Belyy Yar,0,RU,1566715506,64,53.6,91.39,68.0,11.18
280,Udachnyy,0,RU,1566715508,37,66.42,112.4,68.0,6.71
281,Victoria,75,BN,1566715383,70,5.28,115.24,87.8,5.82
282,Chipata,30,ZM,1566715510,58,-13.64,32.65,70.42,7.0
283,Ahuimanu,40,US,1566715511,74,21.44,-157.84,84.2,16.11
284,Tigil,96,RU,1566715512,70,57.8,158.67,55.48,10.33
285,Klaksvik,63,FO,1566715268,93,62.23,-6.59,51.8,9.17
286,Acari,78,BR,1566715515,73,-6.44,-36.64,72.58,20.22
287,Varhaug,0,NO,1566715516,77,58.61,5.65,66.2,8.05
288,Deputatskiy,54,RU,1566715125,58,69.3,139.9,58.18,10.71
289,Kitimat,40,CA,1566715518,93,54.02,-128.69,53.6,6.93
290,Ust-Ishim,51,RU,1566715519,58,57.69,71.17,64.3,9.31
291,Otukpo,100,NG,1566715520,98,7.19,8.13,71.14,2.3
292,Burnie,77,AU,1566715522,53,-41.05,145.91,52.0,4.0
293,Ampanihy,0,MG,1566715523,62,-24.69,44.75,71.32,11.07
294,Gwadar,72,PK,1566715524,79,25.12,62.33,81.22,5.73
295,Kirakira,100,SB,1566715525,86,-10.46,161.92,78.16,2.01
296,Nouadhibou,23,MR,1566715048,93,20.93,-17.03,67.9,8.37
297,Vanavara,100,RU,1566715527,64,60.35,102.28,63.76,4.52
298,Lebu,21,ET,1566715178,73,8.96,38.73,60.88,2.04
299,Khujner,100,IN,1566715530,91,23.78,76.6,74.92,10.8
300,Bintulu,75,MY,1566715531,66,3.17,113.03,91.4,5.82
301,Ekimchan,26,RU,1566715532,49,53.07,132.94,69.88,5.26
302,Clarence Town,0,AU,1566715533,45,-32.59,151.78,68.0,18.34
303,Vizianagaram,75,IN,1566715535,62,18.12,83.4,89.6,8.05
304,Bonthe,100,SL,1566715536,91,7.53,-12.5,75.64,6.4
305,Talnakh,75,RU,1566715537,82,69.49,88.39,60.8,13.42
306,Sur,0,OM,1566715538,29,22.57,59.53,97.42,2.15
307,Helong,92,CN,1566715539,79,25.94,116.13,79.78,12.28
308,San Felipe,83,CL,1566715540,91,-32.75,-70.73,55.0,0.92
309,Mildura,75,AU,1566715542,33,-34.18,142.16,59.0,8.05
310,Hoi An,75,VN,1566715543,62,15.88,108.33,89.6,10.29
311,Tortoli,5,IT,1566715544,88,39.93,9.66,71.6,10.29
312,Puro,100,PH,1566715545,75,13.13,123.76,83.92,7.63
313,Ruma,20,RS,1566715546,78,45.01,19.82,71.6,2.51
314,Amahai,91,ID,1566715548,79,-3.31,129.0,77.26,11.43
315,Bastia,20,IT,1566715549,61,44.6,8.98,78.8,3.36
316,Lagoa,0,PT,1566715550,50,37.14,-8.45,75.2,6.93
317,Pangnirtung,99,CA,1566715551,74,66.15,-65.72,38.56,4.9
318,Athabasca,53,CA,1566715552,84,54.72,-113.29,50.08,4.52
319,Mahebourg,40,MU,1566715502,78,-20.41,57.7,75.2,12.75
320,Adrar,0,DZ,1566715555,20,27.87,-0.29,86.0,9.17
321,Energeticheskiy,20,KZ,1566715556,33,43.43,77.02,77.0,8.95
322,Jalu,0,LY,1566715557,41,29.03,21.55,80.86,9.04
323,Bhadrachalam,100,IN,1566715558,71,17.67,80.89,84.64,8.48
324,Matagami,100,NG,1566715430,98,9.67,8.4,66.1,2.53
325,Yenagoa,89,NG,1566715561,92,4.92,6.26,73.12,1.81
326,Katsina,100,NG,1566715562,88,12.99,7.6,71.14,15.08
327,Weiser,1,US,1566715564,31,44.25,-116.97,75.2,9.17
328,Riyadh,0,SA,1566715565,11,24.63,46.72,96.8,5.82
329,Iqaluit,75,CA,1566715566,87,63.75,-68.52,44.6,9.17
330,Liverpool,20,GB,1566715520,82,53.41,-2.98,69.01,6.93
331,Kloulklubed,90,PW,1566715568,74,7.04,134.26,82.4,13.87
332,Fort Frances,1,CA,1566715349,87,48.61,-93.4,57.99,5.82
333,Swan Hill,50,AU,1566715571,52,-35.34,143.56,52.6,10.92
334,Samarinda,79,ID,1566715572,79,-0.5,117.14,84.46,3.91
335,Chokurdakh,87,RU,1566715573,68,70.62,147.9,61.42,4.79
336,Ahipara,95,NZ,1566715341,100,-35.17,173.16,54.0,19.86
337,Moussoro,83,TD,1566715575,83,13.64,16.49,76.36,9.82
338,San Policarpo,44,PH,1566715577,78,12.18,125.51,83.74,3.85
339,Kathu,0,ZA,1566715578,29,-27.7,23.05,59.0,9.04
340,Kudahuvadhoo,100,MV,1566715579,65,2.67,72.89,83.2,6.64
341,Kibakwe,50,TZ,1566715580,75,-6.71,36.37,65.2,4.99
342,Tual,100,ID,1566715581,82,-5.67,132.75,76.18,16.78
343,Rio Grande,100,BR,1566715582,89,-32.03,-52.1,55.0,3.0
344,Meulaboh,100,ID,1566715584,81,4.14,96.13,78.34,14.25
345,Oistins,20,BB,1566715585,74,13.07,-59.53,82.4,14.99
346,Kavaratti,100,IN,1566715586,80,10.57,72.64,81.76,18.86
347,Mnogovershinnyy,100,RU,1566715587,74,53.94,139.92,55.66,1.36
348,Arizona,69,BR,1566715588,92,-28.39,-49.38,47.74,3.18
349,Primero de Marzo,0,PY,1566715590,52,-25.15,-56.93,69.8,5.82
350,Sao Joao da Barra,12,BR,1566715236,94,-21.64,-41.05,61.42,2.51
351,Kuwana,20,JP,1566715593,55,35.07,136.68,86.0,9.17
352,The Valley,20,AI,1566715298,78,18.22,-63.06,82.4,9.17
353,Nanjing,75,CN,1566715595,63,32.06,118.79,93.2,13.42
354,Aykhal,0,RU,1566715596,37,65.95,111.51,68.0,6.71
355,Gornoye Loo,40,RU,1566715597,61,43.72,39.61,78.8,2.24
356,Mabaruma,9,GY,1566715598,98,8.2,-59.78,71.32,1.19
357,Cherskiy,99,RU,1566715338,39,68.75,161.3,67.18,9.55
358,High Rock,99,BS,1566715601,80,26.63,-78.28,84.1,16.75
359,Chilca,20,PE,1566715602,89,-13.22,-72.34,41.0,3.36
360,Micheweni,11,TZ,1566715603,84,-4.97,39.83,75.28,16.04
361,Novobirilyussy,93,RU,1566715604,85,56.95,90.69,62.14,9.51
362,Gladstone,53,AU,1566715606,46,-23.84,151.26,71.6,11.41
363,Ostrovnoy,91,RU,1566715111,88,68.05,39.51,42.34,1.12
364,Les Escoumins,18,CA,1566715608,70,48.35,-69.4,50.26,3.09
365,Vostok,81,RU,1566715609,69,46.45,135.83,62.86,5.59
366,Lac du Bonnet,100,CA,1566715610,66,50.25,-96.06,70.0,7.0
367,Oranjemund,15,ZA,1566715611,66,-28.55,16.43,59.62,11.23
368,Mersing,96,MY,1566715613,72,2.43,103.84,84.82,6.73
369,Ola,94,RU,1566715614,82,59.58,151.3,54.22,10.98
370,Kiruna,100,SE,1566715615,93,67.86,20.23,48.2,6.93
371,Do Gonbadan,0,IR,1566715616,15,30.36,50.8,100.4,3.13
372,Leh,0,IN,1566715618,32,34.16,77.58,53.32,0.89
373,Makubetsu,75,JP,1566715619,73,42.84,143.34,69.8,10.29
